product name,product price,product link
CORN GeForce RTX 3080 Ti NB-V 12GB Graphics Card,3749,https://www.newegg.ca/corn-rtx-3080-ti-nb-v/p/1FT-0040-000S1?Description=3080&cm_re=3080-_-9SIADDZFD50913-_-Product
,,
CORN iGame GeForce RTX 3080 Ti Advanced OC-V 12GB Graphics Card,4239,https://www.newegg.ca/corn-rtx-3080-ti-advanced-oc/p/1FT-0040-000K5?Description=3080&cm_re=3080-_-9SIADDZFD51077-_-Product
,,
CORN iGame GeForce RTX 3080 Ti Vulcan OC-V 12GB Graphics Card,5189,https://www.newegg.ca/corn-rtx-3080-ti-vulcan-oc-v/p/1FT-0040-000S2?Description=3080&cm_re=3080-_-9SIADDZFD50911-_-Product
,,
GIGABYTE AORUS GeForce RTX 3080 XTREME 10GB GDDR6X PCI Express 4.0 ATX Video Card GV-N3080AORUS X-10GD (rev. 2.0) (LHR),1398,https://www.newegg.ca/gigabyte-geforce-rtx-3080-gv-n3080aorus-x-10gd/p/N82E16814932457?Description=3080&cm_re=3080-_-14-932-457-_-Product
,,
CORN iGame GeForce RTX 3080 Vulcan OC 10G-V Graphics Card,4239,https://www.newegg.ca/corn-rtx-3080-vulcan-oc-10g-v/p/1FT-0040-000R9?Description=3080&cm_re=3080-_-9SIADDZFD50931-_-Product
,,
CORN iGame GeForce RTX 3080 Neptune OC 10G-V Graphics Card,3819,https://www.newegg.ca/corn-rtx-3080-oc-10g-lhr-v/p/1FT-0040-000R7?Description=3080&cm_re=3080-_-9SIADDZFD50936-_-Product
,,
CORN GeForce RTX 3080 Ti 12GB 1695MHz OC[FG] Graphics Card - GA102-225(LHR),3859,https://www.newegg.ca/corn-rtx-3080-oc-fg/p/1FT-0040-000V8?Description=3080&cm_re=3080-_-9SIADDZFED8025-_-Product
,,
CORN iGame GeForce RTX 3080 Advanced OC 10G LHR-V Graphics Card,3099,https://www.newegg.ca/corn-rtx-3080-oc-10g-lhr-v/p/1FT-0040-000K6?Description=3080&cm_re=3080-_-9SIADDZFD51072-_-Product
,,
GIGABYTE AORUS GeForce RTX 3080 MASTER 10GB GDDR6X PCI Express 4.0 ATX Video Card GV-N3080AORUS M-10GD (rev. 3.0) (LHR),1495,https://www.newegg.ca/gigabyte-geforce-rtx-3080-gv-n3080aorus-m-10gd/p/N82E16814932458?Description=3080&cm_re=3080-_-14-932-458-_-Product
,,
"Gainward GeForce RTX 3080 XingJi LanJue G (LHR) Video Card,10GB 320-bit GDDR6X,PCI Express 4.0,1×HDMI 2.1 Interface, 3×DisplayPort1.4a Interface",2319,https://www.newegg.ca/p/1FT-0040-00167?Description=3080&cm_re=3080-_-9SIADDZH9P5340-_-Product
,,
"CORN GeForce RTX 3080 Ti HOF Extreme Graphics Card, GA102-225, 12GB DDR6X",5559,https://www.newegg.ca/corn-rtx-3080-ti-hof-extreme/p/1FT-0040-000W0?Description=3080&cm_re=3080-_-9SIADDZFED8026-_-Product
,,
"Gainward GeForce RTX 3080 Glare G (LHR) Video Card,10GB 320-bit GDDR6X,PCI Express 4.0,1×HDMI2.1 Interface, 3×DisplayPort1.4a Interface",2349,https://www.newegg.ca/p/1FT-0040-00163?Description=3080&cm_re=3080-_-9SIADDZH9P6413-_-Product
,,
"Gainward GeForce RTX 3080 Chasing The Wind G (LHR) Video Card,10GB 320-bit GDDR6X,PCI Express 4.0,1×HDMI2.1 Interface, 3×DisplayPort1.4a Interface",2079,https://www.newegg.ca/p/1FT-0040-00162?Description=3080&cm_re=3080-_-9SIADDZH9P6417-_-Product
,,
Yeston RTX 3080 10GB GDDR6X 320bit LHR Graphics cards Nvidia pci express x16 4.0 HDMI 2.1*1 + DP1.4a*3 Desktop computer PC video gaming graphics card,1349,https://www.newegg.ca/yeston-geforce-rtx-3060-rtx-3060-12gd6-lb/p/1FT-007N-00070?Description=3080&cm_re=3080-_-9SIB3EJJ482159-_-Product
,,
